"printing_id","short_id","canonical_id","set_code","collector_number","card_type","name_en","version_en","rules_text_en","flavor_text_en_reference","i18n_file_to_update","spanish_status"
"set1-001","WeA","ci_WeA","set1","1","character","Ariel","On Human Legs","VOICELESS This character can't {E} to sing songs.","...","src/cards/001/characters/001-ariel-on-human-legs.i18n.ts","translated"
"set1-002","Z4N","ci_Z4N","set1","2","character","Ariel","Spectacular Singer","Singer 5
MUSICAL DEBUT When you play this character, look at the top 4 cards of your deck. You may reveal a song card and put it into your hand. Put the rest on the bottom of your deck in any order.","","src/cards/001/characters/002-ariel-spectacular-singer.i18n.ts","translated"
"set1-003","jZv","ci_Rrb","set1","3","character","Cinderella","Gentle and Kind","Singer 5
A WONDERFUL DREAM {E} — Remove up to 3 damage from chosen Princess character.","","src/cards/001/characters/003-cinderella-gentle-and-kind.i18n.ts","translated"
"set1-004","BTg","ci_BTg","set1","4","character","Goofy","Musketeer","Bodyguard
AND TWO FOR TEA! When you play this character, you may remove up to 2 damage from each of your Musketeer characters.","En gawrsh!","src/cards/001/characters/004-goofy-musketeer.i18n.ts","translated"
"set1-005","qBw","ci_pZ2","set1","5","character","Hades","King of Olympus","Shift 6
SINISTER PLOT This character gets +1 {L} for each other Villain character you have in play.","Oh hey, I’m gonna need new business cards.","src/cards/001/characters/005-hades-king-of-olympus.i18n.ts","translated"
"set1-006","gvD","ci_gvD","set1","6","character","Hades","Lord of the Underworld","WELL OF SOULS When you play this character, return a character card from your discard to your hand.","Production is up, costs are down, the rivers are full. Time to talk expansion.","src/cards/001/characters/006-hades-lord-of-the-underworld.i18n.ts","translated"
"set1-007","fZh","ci_Tbp","set1","7","character","HeiHei","Boat Snack","Support","Sometimes, our strengths lie beneath the surface. Far beneath, in some cases.. . . —Moana","src/cards/001/characters/007-heihei-boat-snack.i18n.ts","translated"
"set1-008","irS","ci_irS","set1","8","character","LeFou","Bumbler","LOYAL If you have a character named Gaston in play, you pay 1 {I} less to play this character.","You need a good toady to be a proper bad guy.","src/cards/001/characters/008-lefou-bumbler.i18n.ts","translated"
"set1-009","Svq","ci_Svq","set1","9","character","Lilo","Making a Wish","undefined","A falling star. . . I have to make a wish!","src/cards/001/characters/009-lilo-making-a-wish.i18n.ts","translated"
"set1-010","A1E","ci_A1E","set1","10","character","Maximus","Palace Horse","Bodyguard
Support","","src/cards/001/characters/010-maximus-palace-horse.i18n.ts","translated"
"set1-011","bqd","ci_bqd","set1","11","character","Maximus","Relentless Pursuer","HORSE KICK When you play this character, chosen character gets -2 {S} this turn.","He pursues his quarry with courage, discipline, and a touch of class.","src/cards/001/characters/011-maximus-relentless-pursuer.i18n.ts","translated"
"set1-012","xhF","ci_mvj","set1","12","character","Mickey Mouse","True Friend","undefined","As long as he’s around, newcomers to the Great Illuminary will always get a warm welcome.","src/cards/001/characters/012-mickey-mouse-true-friend.i18n.ts","translated"
"set1-013","c9i","ci_c9i","set1","13","character","Minnie Mouse","Beloved Princess","undefined","Wherever the princess goes, her musketeers are. . . well, they’re around somewhere, probably.","src/cards/001/characters/013-minnie-mouse-beloved-princess.i18n.ts","translated"
"set1-014","u8U","ci_Pdi","set1","14","character","Moana","Of Motunui","WE CAN FIX IT Whenever this character quests, you may ready your other Princess characters. They can't quest for the rest of this turn.","I am Moana of Motunui. You will board my boat, sail across the sea, and restore the heart of Te Fiti.","src/cards/001/characters/014-moana-of-motunui.i18n.ts","translated"
